date,text,img_path
28 Sep 23,"RISCALDAMENTO TIA 6A
Federico Camboni
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/RISCALDAMENTO_TIA_6A.png
28 Sep 23,"TBA WARMUP 1
Luis Rodriguez
6B+. You graded this problem 6B+.
Feet follow hands
Project (1)
40° MoonBoard",./images/TBA_WARMUP_1.png
28 Sep 23,"FORSØK 25
atoneni
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/FORSØK_25.png
26 Sep 23,"V4 FLASH
Tom Mavrovic
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/V4_FLASH.png
26 Sep 23,"BZ - MYSTIC RHYTHMS
Thomas Watts
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/BZ_-_MYSTIC_RHYTHMS.png
26 Sep 23,"ATTIC V - 2
Jo
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/ATTIC_V_-_2.png
26 Sep 23,"IN MY APPROACH SHOES...
Kyle Knapp
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/IN_MY_APPROACH_SHOES....png
26 Sep 23,"DISPENSORY
Luis Rodriguez
6B+
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/DISPENSORY.png
26 Sep 23,"CHOSSY MESS
orion feist
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/CHOSSY_MESS.png
22 Sep 23,"QUARANTINE #4
Erin Daniel
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/QUARANTINE_#4.png
22 Sep 23,"DIVESTMENT PLAN
will winham
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/DIVESTMENT_PLAN.png
22 Sep 23,"SOLIDARITY
Kilgour22
6B+. You graded this problem 6B+.
Feet follow hands
Project (1)
40° MoonBoard",./images/SOLIDARITY.png
22 Sep 23,"V4 FLASH
Tom Mavrovic
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/V4_FLASH.png
22 Sep 23,"BZ - MYSTIC RHYTHMS
Thomas Watts
6B+. You graded this problem 6B+.
Feet follow hands
Project (1)
40° MoonBoard",./images/BZ_-_MYSTIC_RHYTHMS.png
22 Sep 23,"YOU GET A CAR
Mfi
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/YOU_GET_A_CAR.png
22 Sep 23,"WARM UP 1031
lyndsey
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/WARM_UP_1031.png
22 Sep 23,"EASY-PEASY LEMON SQUEEZY
Movement Crew
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/EASY-PEASY_LEMON_SQUEEZY.png
22 Sep 23,"MAGGIE’S PROBLEM
Taylor Kosman
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/MAGGIE’S_PROBLEM.png
18 Jul 23,"SAR&MAR-BEAR CLIMB
Beaves
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/SAR&MAR-BEAR_CLIMB.png
